returnCode="0" returnMessage="Query Succeed" rowCount="9288" colCount="79" requestParams="admincodes=360100&datacode=SURF_CHN_MUL_MON&timerange=[19610101000000,20191231010000]&elements=Station_Name,Station_Id_d,Lat,Lon,Alti,Year,Mon,TEM_Avg,TEM_Max_Avg,TEM_Min_Avg,TEM_Max,TEM_Max_Days,TEM_Min,TEM_Min_Days,TEM_Avg_Dev,TEM_Max_Dev,TEM_Max_A30C_Days,TEM_Max_A35C_Days,TEM_Max_A40C_Days,TEM_Min_B2C_Days,TEM_Min_B0C_Days,TEM_Min_Bn2C_Days,WIN_S_2mi_Avg,WIN_S_Max,Days_WIN_S_Max,WIN_S_A5ms_Days,WIN_NNE_Freq,WIN_NE_Freq,WIN_ENE_Freq,WIN_E_Freq,WIN_ESE_Freq,WIN_SE_Freq,WIN_SSE_Freq,WIN_S_Freq,WIN_SSW_Freq,WIN_SW_Freq,WIN_WSW_Freq,WIN_W_Freq,WIN_WNW_Freq,WIN_NW_Freq,WIN_NNW_Freq,WIN_N_Freq,WIN_C_Freq,WIN_D_Max_C,WIN_D_Max_Freq,WIN_D_SMax_C,WIN_D_SMax_Freq,WIN_S_Avg_NNE,WIN_S_Avg_NE,WIN_S_Avg_ENE,WIN_S_Avg_E,WIN_S_Avg_ESE,WIN_S_Avg_SE,WIN_S_Avg_SSE,WIN_S_Avg_S,WIN_S_Avg_SSW,WIN_S_Avg_SW,WIN_S_Avg_WSW,WIN_S_Avg__W,WIN_S_Avg_WNW,WIN_S_Avg_NW,WIN_S_Avg_NNW,WIN_S_Avg__N,WIN_S_Max_NNE,WIN_S_Max_NE,WIN_S_Max_ENE,WIN_S_Max_E,WIN_S_Max_ESE,WIN_S_Max_SE,WIN_S_Max_SSE,WIN_S_Max_S,WIN_S_Max_SSW,WIN_S_Max_SW,WIN_S_Max_WSW,WIN_S_Max_W,WIN_S_Max_WNW,WIN_S_Max_NW,WIN_S_Max_NNW,WIN_S_Max_N" requestTime="2020-08-24 08:29:02" responseTime="2020-08-24 08:29:57" takeTime="55.067"

Station_Name Station_Id_d Lat Lon Alti Year Mon TEM_Avg TEM_Max_Avg TEM_Min_Avg TEM_Max TEM_Max_Days TEM_Min TEM_Min_Days TEM_Avg_Dev TEM_Max_Dev TEM_Max_A30C_Days TEM_Max_A35C_Days TEM_Max_A40C_Days TEM_Min_B2C_Days TEM_Min_B0C_Days TEM_Min_Bn2C_Days WIN_S_2mi_Avg WIN_S_Max Days_WIN_S_Max WIN_S_A5ms_Days WIN_NNE_Freq WIN_NE_Freq WIN_ENE_Freq WIN_E_Freq WIN_ESE_Freq WIN_SE_Freq WIN_SSE_Freq WIN_S_Freq WIN_SSW_Freq WIN_SW_Freq WIN_WSW_Freq WIN_W_Freq WIN_WNW_Freq WIN_NW_Freq WIN_NNW_Freq WIN_N_Freq WIN_C_Freq WIN_D_Max_C WIN_D_Max_Freq WIN_D_SMax_C WIN_D_SMax_Freq WIN_S_Avg_NNE WIN_S_Avg_NE WIN_S_Avg_ENE WIN_S_Avg_E WIN_S_Avg_ESE WIN_S_Avg_SE WIN_S_Avg_SSE WIN_S_Avg_S WIN_S_Avg_SSW WIN_S_Avg_SW WIN_S_Avg_WSW WIN_S_Avg__W WIN_S_Avg_WNW WIN_S_Avg_NW WIN_S_Avg_NNW WIN_S_Avg__N WIN_S_Max_NNE WIN_S_Max_NE WIN_S_Max_ENE WIN_S_Max_E WIN_S_Max_ESE WIN_S_Max_SE WIN_S_Max_SSE WIN_S_Max_S WIN_S_Max_SSW WIN_S_Max_SW WIN_S_Max_WSW WIN_S_Max_W WIN_S_Max_WNW WIN_S_Max_NW WIN_S_Max_NNW WIN_S_Max_N
进贤 58614 28.3833 116.2333 46.2 1961 3 11.5 14.8 8.9 27.2 999999 5.1 999999 5.9 12.1 0 0 0 0 0 0 3.8 999999 999999 999999 8 13 2 6 2 2 3 2 3 999998 999998 999998 999998 999998 19 31 8 999001 31 999998 999998 4 3.3 2 3.2 1.5 2 2.7 10 4 0 0 0 0 0 5.2 4.2 6 7 2 4 2 3 4 12 6 0 0 0 0 0 8 10

新建 58693 28.7333 115.8833 27.9 1961 4 18.2 22 15.2 29.7 999999 10.3 999999 6.8 12.9 0 0 0 0 0 0 3.4 999999 999999 999999 22 11 6 4 3 999998 8 2 2 1 2 999998 999998 999998 3 18 17 999002 22 999998 999998 4.5 3 2.8 2.8 2.3 0 2.3 4.5 3 1 4 0 0 0 7.3 5.5 10 7 4 4 3 0 5 8 5 1 7 0 0 0 12 12

安义 58602 28.8333 115.5333 34.5 1961 4 17.9 22.4 13.3 29.3 999999 7.6 999999 9.1 17.2 0 0 0 0 0 0 1.8 999999 999999 999999 8 13 16 3 999998 2 999998 1 3 4 1 2 999998 999998 999998 3 42 999017 42 999004 16 3 2.8 3.5 1.7 0 1.5 0 1 5.3 4.3 1 2 0 0 0 2.3 4 7 7 2 0 2 0 1 8 9 1 2 0 0 0 3

南昌 58606 28.6667 115.9667 46.7 1961 4 18.2 21.8 15.2 29.8 999999 9 999999 6.6 12.4 0 0 0 0 0 0 2.7 13.5 999999 19 17 6 3 1 3 3 1 1 4 1 1 999998 1 999998 6 9 46 999017 46 999002 17 5.4 2.3 2.3 4 3.3 4.3 2 1 4 5 8 0 4 0 6.9 6.6 8 3 3 4 5 7 2 1 7 5 8 0 4 0 11 12

南昌县 58607 28.5167 115.95 25 1961 4 18.1 22 14.3 29.1 999999 9.3 999999 7.7 14.3 0 0 0 0 0 0 3.4 999999 999999 999999 12 9 6 2 2 3 3 3 6 1 999998 3 999998 1 9 24 14 999001 24 999998 999998 2.8 2.6 3 1.5 1 1.3 1 4 4.8 2 0 1 0 4 4.3 6.8 6 6 5 2 1 2 1 8 9 2 0 1 0 4 10 17

进贤 58614 28.3833 116.2333 46.2 1961 4 18.4 22.4 15 29.3 999999 10.4 999999 7.4 14.2 0 0 0 0 0 0 3.1 999999 999999 999999 18 4 2 9 7 6 17 999998 3 1 999998 999998 999998 2 11 12 8 999002 18 999998 999998 3.4 2.8 1.5 2.9 2.2 2.6 3.2 0 2.7 2 0 0 0 3 5.3 4.2 8 5 2 6 3 5 8 0 4 2 0 0 0 4 12 10

新建 58693 28.7333 115.8833 27.9 1961 5 22.1 26.1 18.7 33.2 999999 10.7 999999 7.4 14.3 4 0 0 0 0 0 2.8 999999 999999 999999 24 14 6 999998 3 2 4 5 5 999998 4 999998 1 999998 3 11 16 999002 24 999998 999998 4.3 2.3 3.3 0 1.7 1 2 3.6 2.6 0 1.8 0 1 0 6.3 4.6 10 4 5 0 2 1 3 5 5 0 3 0 1 0 7 9

安义 58602 28.8333 115.5333 34.5 1961 5 21.8 26.4 17.2 32.3 999999 8.4 999999 9.2 16.5 4 0 0 0 0 0 1.8 999999 999999 999999 10 14 4 11 999998 1 999998 3 3 4 1 1 999998 1 1 5 40 999017 40 999003 14 3.4 3.2 3 3 0 2 0 2.3 4 2.5 1 1 0 2 5 3.2 7 6 4 5 0 2 0 5 5 3 1 1 0 2 5 5

南昌 58606 28.6667 115.9667 46.7 1961 5 22.1 26 18.9 33.4 999999 12.2 999999 7.1 13.3 5 0 0 0 0 0 2 13 999999 17 12 2 1 999998 1 1 999998 3 2 2 1 999998 999998 2 10 10 53 999017 53 999002 12 2.7 3.3 1 0 3 5 0 3 4.5 2.3 3 0 0 9.5 6.8 4.3 5 4 1 0 3 5 0 4 7 3 3 0 0 10 11 8

南昌县 58607 28.5167 115.95 25 1961 5 22 26 18.1 32.6 999999 10.2 999999 7.9 16.4 4 0 0 0 0 0 3.2 999999 999999 999999 19 5 1 4 999998 2 5 2 4 1 4 3 3 1 11 22 11 999001 22 999998 999998 3.1 2.4 1 1.5 0 1 1.8 5 2.3 1 2.8 2.7 3.7 1 6.1 5.2 9 3 1 3 0 1 3 7 3 1 4 3 6 1 12 9

进贤 58614 28.3833 116.2333 46.2 1961 5 22.2 26 18.4 33.4 999999 10 999999 7.6 15.2 6 0 0 0 0 0 3.3 999999 999999 999999 16 8 4 8 5 3 12 5 3 2 2 3 999998 999998 9 11 9 999002 16 999998 999998 3.1 3.1 2.3 1.9 2.4 2.7 3.4 4.6 2.3 4 3 1.7 0 0 6.1 5.8 5 5 4 3 4 3 12 9 3 5 5 3 0 0 12 20

新建 58693 28.7333 115.8833 27.9 1961 6 27.9 31.7 24.7 36.5 999999 19.6 999999 7 9.5 21 7 0 0 0 0 2.9 999999 999999 999999 11 6 9 3 1 2 8 9 14 6 6 1 999998 999998 4 12 8 999010 14 999998 999998 3.8 3.6 1.8 3.3 3 1.5 3.6 2.5 4.1 3.6 2.6 2 0 0 2.8 3.3 5 5 3 4 3 2 6 5 8 7 3 2 0 0 5 6

安义 58602 28.8333 115.5333 34.5 1961 6 27.2 31.4 23.1 36.6 999999 18.6 999999 8.3 11.8 20 5 0 0 0 0 1.9 999999 999999 999999 7 9 7 6 1 2 999998 2 12 13 3 4 999998 1 999998 3 29 999017 29 999011 13 3.2 2.9 3 3 3 1.5 0 3 2.9 3.1 1 1.5 0 2 0 2.7 5 4 5 5 3 2 0 3 7 6 1 2 0 2 0 4

南昌 58606 28.6667 115.9667 46.7 1961 6 28.1 32 25.2 37.7 999999 19.3 999999 6.8 9.2 21 8 0 0 0 0 1.4 10 999999 21 12 1 3 999998 2 999998 3 5 4 3 1 999998 999998 1 7 3 56 999017 56 999002 12 3.4 3 1.8 0 2.5 0 2.8 2.8 4.4 3.3 2 0 0 3 3.4 3.3 5 3 3 0 3 0 4 6 8 6 2 0 0 3 5 5

南昌县 58607 28.5167 115.95 25 1961 6 27.9 31.5 24.3 36 999999 18.8 999999 7.2 9.4 21 6 0 0 0 0 2.4 999999 999999 999999 12 4 4 1 1 1 3 9 16 13 1 999998 3 999998 8 12 10 999010 16 999998 999998 2 1.8 1.5 3 1 2 3.3 1.6 3.1 3.3 1 0 1.7 0 3.6 3.5 4 3 2 3 1 2 5 4 8 7 1 0 2 0 5 6

进贤 58614 28.3833 116.2333 46.2 1961 6 28.2 32.3 24.3 37.6 999999 18.6 999999 8 11.6 21 11 0 0 0 0 2.9 999999 999999 999999 10 9 1 6 1 7 11 10 11 9 2 3 1 2 4 4 8 999010 11 999998 999998 2.9 3 3 2.8 1 2.3 2.5 2.8 3.7 4.3 7 2.3 4 3 3.5 2.3 5 5 3 4 1 3 5 4 8 10 10 3 4 3 4 3

新建 58693 28.7333 115.8833 27.9 1961 7 30.8 35.2 27.2 40.3 999999 24.4 999999 8 10.7 29 18 1 0 0 0 3.5 999999 999999 999999 5 6 8 3 5 6 9 11 17 15 4 999998 999998 999998 3 4 2 999010 17 999998 999998 3.4 3 3.4 3 2.6 2.8 2.9 3.1 4.4 4.4 3.5 0 0 0 1.7 4.8 5 6 5 5 5 4 5 4 9 7 4 0 0 0 3 6

安义 58602 28.8333 115.5333 34.5 1961 7 30 34.5 25.3 38.7 999999 23 999999 9.2 13.4 30 15 0 0 0 0 2.1 999999 999999 999999 4 8 5 4 999998 1 2 13 10 14 2 999998 1 999998 999998 2 33 999017 33 999011 14 3.3 2.4 3 4.3 0 2 2 3.2 4 3 1 0 4 0 0 2.5 6 4 4 6 0 2 2 5 7 5 1 0 4 0 0 3

南昌 58606 28.6667 115.9667 46.7 1961 7 31 35.5 27.2 40.6 999999 24.8 999999 8.3 10.5 30 22 1 0 0 0 1.9 9.8 999999 21 3 2 2 3 5 3 6 12 8 7 999998 999998 999998 999998 1 4 42 999017 42 999009 12 2.8 5.3 3.7 3.5 3.3 2.5 2.8 2.4 3.5 3.3 0 0 0 0 4 4.6 5 6 5 5 6 4 5 6 8 7 0 0 0 0 4 5

南昌县 58607 28.5167 115.95 25 1961 7 30.5 34.9 26.5 39.7 999999 24.7 999999 8.4 10.7 31 16 0 0 0 0 2.7 999999 999999 999999 3 5 2 1 8 3 12 15 18 4 4 6 1 1 4 4 6 999010 18 999998 999998 5 2 2.5 2 2.9 3 2.2 2.9 2.9 2.3 5 2.5 1 2 4.3 2.5 6 3 4 2 5 4 5 7 5 4 7 3 1 2 6 5

进贤 58614 28.3833 116.2333 46.2 1961 7 30.8 36.1 25.8 39.9 999999 23 999999 10.3 13 31 22 0 0 0 0 3.3 999999 999999 999999 2 3 5 6 3 9 18 23 12 4 4 999998 999998 999998 2 2 5 999009 23 999998 999998 3.5 3 2.8 2.8 3.3 2.9 3.8 3.6 3.5 4 4.8 0 0 0 1.5 4 4 4 6 4 6 8 7 8 6 6 5 0 0 0 2 4

新建 58693 28.7333 115.8833 27.9 1961 8 29.6 33.8 26.4 36.8 999999 24.4 999999 7.4 11 29 9 0 0 0 0 3.3 999999 999999 999999 23 3 8 3 2 4 6 5 6 12 1 999998 2 3 1 2 17 999002 23 999998 999998 6.2 4.7 3 4.3 2 2.5 2.3 2.2 4.5 2.5 5 0 2.5 4.3 3 4.5 12 7 4 5 2 4 3 3 8 3 5 0 4 10 3 7

安义 58602 28.8333 115.5333 34.5 1961 8 29.2 33.6 24.8 38 999999 21.9 999999 8.8 12.1 29 6 0 0 0 0 2.1 999999 999999 999999 3 18 5 4 2 999998 1 4 5 6 2 2 2 1 1 2 39 999017 39 999003 18 4.7 5.2 3.2 2.5 2.5 0 2 2.5 2.6 1.8 1 3 5 1 2 3.5 7 8 4 3 3 0 2 6 4 4 1 4 5 1 2 5

南昌 58606 28.6667 115.9667 46.7 1961 8 29.8 34 26.5 37.4 999999 24.2 999999 7.5 10 29 11 0 0 0 0 1.9 11.8 999999 21 11 5 4 1 1 4 2 2 4 2 2 1 999998 999998 4 5 52 999017 52 999002 11 5.3 5.2 3.2 2 1 3.8 3 3 2.2 2.7 4 2 0 0 5.4 2.7 9 10 7 2 1 12 5 5 4 4 6 2 0 0 8 4

南昌县 58607 28.5167 115.95 25 1961 8 29.5 33.5 26.3 37 999999 23 999999 7.2 9.3 29 4 0 0 0 0 2.5 999999 999999 999999 16 3 6 1 5 6 3 3 12 9 5 1 2 2 1 5 17 999017 17 999002 16 4.9 2.3 2.7 4 1.6 2.8 2.3 1.7 2 2.4 2.6 3 1.5 1.5 5 6 9 3 5 4 3 7 3 3 4 4 5 3 2 2 5 9

进贤 58614 28.3833 116.2333 46.2 1961 8 29.8 34.9 25.8 38.4 999999 23.7 999999 9.1 11.8 31 15 0 0 0 0 3 999999 999999 999999 10 9 3 3 5 5 18 10 6 2 3 3 3 999998 4 5 9 999008 18 999998 999998 4 5.1 3.3 4.3 2.8 2.2 3.5 2.1 2.7 2 3 2.3 1 0 3 5 8 10 4 7 4 3 7 4 5 2 4 3 1 0 5 8

新建 58693 28.7333 115.8833 27.9 1961 9 24.9 28.6 22.3 34 999999 18.4 999999 6.3 9.8 8 0 0 0 0 0 5.8 999999 999999 999999 43 10 10 1 999998 999998 999998 2 1 1 1 2 999998 999998 999998 24 3 999002 43 999998 999998 7.1 4 3.8 2 0 0 0 2 2 3 14 3.5 0 0 0 6.6 12 7 6 2 0 0 0 3 2 3 14 4 0 0 0 14

安义 58602 28.8333 115.5333 34.5 1961 9 24.6 29 20.5 34.9 999999 14.5 999999 8.5 13.4 9 0 0 0 0 0 3.1 999999 999999 999999 11 23 13 19 1 999998 1 1 999998 2 999998 2 999998 999998 1 11 13 999003 23 999998 999998 4.4 4.1 3.5 3.5 4 0 6 4 0 3 0 3.5 0 0 1 2.1 7 7 7 8 4 0 6 4 0 3 0 4 0 0 1 4

南昌 58606 28.6667 115.9667 46.7 1961 9 24.8 28.5 22.2 34 999999 18 999999 6.3 8.5 8 0 0 0 0 0 5.1 15 999999 24 38 12 5 2 1 999998 1 1 2 2 1 1 999998 999998 2 28 7 999002 38 999998 999998 5.9 3.8 2.8 3.5 3 0 2 2 1 4 13 4 0 0 5.5 6.5 12 7 4 5 3 0 2 2 1 6 13 4 0 0 7 12

南昌县 58607 28.5167 115.95 25 1961 9 24.6 28.4 21.6 32.8 999999 16.3 999999 6.8 9 9 0 0 0 0 0 4.8 999999 999999 999999 36 7 1 1 999998 999998 999998 2 999998 2 999998 1 1 2 1 37 9 999001 37 999998 999998 6 4.5 4 1 0 0 0 1 0 4 0 9 2 1 1 5.7 14 8 4 1 0 0 0 1 0 5 0 9 2 1 1 10

进贤 58614 28.3833 116.2333 46.2 1961 9 25.3 29 21.8 35.3 999999 17.9 999999 7.2 10.9 10 1 0 0 0 0 4.1 999999 999999 999999 24 8 6 6 2 1 4 1 2 1 1 2 999998 999998 6 36 999998 999001 36 999998 999998 4.8 3.9 2.8 2.4 2 3 1.5 2 1.5 3 1 5 0 0 4.2 4.9 8 8 4 3 3 3 2 2 2 3 1 8 0 0 6 10

进贤 58614 28.3833 116.2333 46.2 1961 10 20.1 24.2 16.2 33.6 999999 11.7 999999 8 14.3 3 0 0 0 0 0 3.7 999999 999999 999999 26 10 2 999998 999998 999998 2 1 1 999998 1 999998 1 1 20 31 3 999001 31 999998 999998 3.5 2.7 3.5 0 0 0 2 2 2 0 2 0 3 2 4.6 4.4 7 4 4 0 0 0 2 2 2 0 2 0 3 2 8 8

新建 58693 28.7333 115.8833 27.9 1961 10 20 24.3 16.8 32.2 999999 11.9 999999 7.5 13.2 2 0 0 0 0 0 4.9 999999 999999 999999 35 14 4 999998 1 1 1 999998 1 999998 999998 999998 999998 3 2 34 2 999002 35 999998 999998 5.7 4.2 4.8 0 3 3 3 0 3 0 0 0 0 5 4.5 5 10 7 5 0 3 3 3 0 3 0 0 0 0 7 5 9

安义 58602 28.8333 115.5333 34.5 1961 10 19.2 24.8 14.5 32.6 999999 8.7 999999 10.3 16.4 2 0 0 0 0 0 2.5 999999 999999 999999 9 22 20 15 999998 999998 999998 999998 1 3 1 999998 999998 999998 999998 4 25 999017 25 999003 22 3.8 3.4 4.2 3.1 0 0 0 0 1 2 1 0 0 0 0 2.3 7 6 7 7 0 0 0 0 1 3 1 0 0 0 0 4

南昌 58606 28.6667 115.9667 46.7 1961 10 20 24.2 16.8 32.6 999999 11.3 999999 7.4 12.5 2 0 0 0 0 0 4.7 10 999999 27 37 10 2 999998 1 999998 999998 1 2 1 999998 999998 999998 2 2 37 6 999001 37 999998 999998 4.9 3.6 2.5 0 2 0 0 1 2 1 0 0 0 4 4.5 6 9 7 3 0 2 0 0 1 3 1 0 0 0 6 6 10

